t,ang_x,ang_y,ang_z,lin_x,lin_y,lin_z
0.007161855697631836,-0.00040889103547669947,0.00018053455278277394,-0.000254874030360952,-0.08069504052400589,0.41891759634018066,9.792860984802246
0.026059389114379883,0.0002650924143381417,-0.0006512363906949757,0.0006985556101426483,-0.057738181203603745,0.4387408196926129,9.78744125366211
0.036897897720336914,-0.0011639806907624006,-0.0002912260824814439,1.539775985293094e-05,-0.06419296562671661,0.42217648029327515,9.797164916992188
0.058409690856933594,0.0006175867165438831,0.0003492538817226887,0.00010613459744490679,-0.073857381939888,0.43202349543571594,9.81334114074707
0.07715010643005371,-0.001345633645541966,-0.0002694237045943737,9.02583415154368e-05,-0.05507192388176918,0.42506906390190247,9.763830184936523
0.0943450927734375,0.0007140697562135756,4.867557436227712e-06,-0.0007027959218248725,-0.05720007047057152,0.4310504496097577,9.824625968933105
0.11611175537109375,-0.0016628678422421217,-0.0008152320515364407,0.001138918800279498,-0.0736968144774437,0.43533855676651123,9.788023948669434
0.13634657859802246,0.002488420344889164,0.0022402903996407986,-0.0005037711816839877,-0.06787993013858795,0.4256245493888867,9.791387557983398
0.154799222946167,0.0008280820329673588,7.301825098693364e-05,-0.0005239491001702845,-0.06580296158790588,0.43804007768631104,9.798577308654785
0.17524981498718262,0.002563556656241417,0.0025354139506816864,-0.00035536583163775536,-0.07213446497917175,0.432044178247453,9.795945167541504
0.1970808506011963,-0.0037742347922176123,-0.0016954300226643682,0.00044393792632035933,-0.054611608386039734,0.42692944407463196,9.791364669799805
0.2147061824798584,0.00020829268032684922,0.0009459936991333961,-0.00020338356262072932,-0.07066211849451065,0.42670783400535706,9.788771629333496
0.23523283004760742,-0.0016882544150575995,5.4639065638184615e-05,0.0005659405142068863,-0.06491140276193619,0.4237450957298291,9.81727409362793
0.25643396377563477,0.00013985327677801251,0.0001336063724011182,-0.000623145722784102,-0.06120648980140686,0.42834970355033997,9.774794578552246
0.2745966911315918,-0.0014850189909338951,-0.0002851851750165224,-0.00021118193399161098,-0.04900776967406273,0.43430599570274475,9.798883438110352
0.2962460517883301,0.000761360686738044,0.00023060967214405534,-0.00015410676132887605,-0.06303846091032028,0.43332269787788513,9.791796684265137
0.31624460220336914,-0.0002847372670657933,9.149289689958104e-05,0.0006748071173205972,-0.05238166078925133,0.43067702651023987,9.80076789855957
