t,timebase,point_num,lidar_id
0.045948028564453125,1777374388805911221,19296,192
0.14299559593200684,1777374388903839199,20736,192
0.24420714378356934,1777374389005772071,19968,192
0.3429093360900879,1777374389106793532,20064,192
0.44387030601501465,1777374389206080764,19776,192
0.5430223941802979,1777374389304753044,20160,192
0.6440427303314209,1777374389405995238,20064,192
0.7446651458740234,1777374389506138893,19968,192
0.8430402278900146,1777374389606410808,19968,192
0.9503798484802246,1777374389706064795,19872,192
1.042085886001587,1777374389809996485,20064,192
1.1448500156402588,1777374389905179628,19296,192
1.2476732730865479,1777374390002110861,20832,192
1.3440454006195068,1777374390106320260,19776,192
1.4433844089508057,1777374390204991844,20160,192
1.5441536903381348,1777374390306183052,19776,192
1.6427440643310547,1777374390404862094,20160,192
1.7447850704193115,1777374390505376095,20064,192
1.845393180847168,1777374390606469645,19968,192
1.9418654441833496,1777374390706236181,19968,192
2.043022871017456,1777374390806109913,20064,192
2.142127275466919,1777374390906333660,19968,192
2.2470481395721436,1777374391006422583,19872,192
2.342970609664917,1777374391110319423,20160,192
2.4423561096191406,1777374391206404624,19968,192
2.542919874191284,1777374391306361172,19968,192
2.6440958976745605,1777374391407352462,19584,192
2.74263858795166,1777374391506602963,20448,192
2.8428521156311035,1777374391606581981,19968,192
2.9418210983276367,1777374391706392377,19968,192
3.050053358078003,1777374391806446647,20064,192
3.142080068588257,1777374391906522971,19968,192
3.2425243854522705,1777374392006593113,19008,192
3.3426051139831543,1777374392100998390,20928,192
3.4421980381011963,1777374392205437048,19968,192
3.542808771133423,1777374392305434162,19296,192
3.642496109008789,1777374392405678830,20736,192
3.7422614097595215,1777374392505709265,19968,192
3.8419864177703857,1777374392605897662,19968,192
3.9416732788085938,1777374392705281715,19968,192
4.042641878128052,1777374392805145513,20064,192
4.144125938415527,1777374392907140796,19872,192
4.242564678192139,1777374393005376698,20064,192
4.342040777206421,1777374393105650412,19968,192
4.441928863525391,1777374393205166355,20064,192
4.542010307312012,1777374393305370706,19968,192
4.642341136932373,1777374393405288741,19968,192
4.748767852783203,1777374393505263559,18720,192
4.842721700668335,1777374393609626239,21312,192
4.942119598388672,1777374393705351600,19200,192
5.043373107910156,1777374393801355243,20736,192
5.142417907714844,1777374393905297907,19968,192
5.241767406463623,1777374394005305374,20064,192
5.342282772064209,1777374394105284146,19968,192
5.448023080825806,1777374394205388263,19776,192
5.5418381690979,1777374394310132466,20160,192
5.642647743225098,1777374394405207337,19968,192
5.74205207824707,1777374394505230921,20064,192
5.844733953475952,1777374394605320666,19296,192
5.942298889160156,1777374394701637213,20640,192
6.042251348495483,1777374394805283907,19968,192
6.142461776733398,1777374394905284669,20160,192
6.243340253829956,1777374395005500688,19872,192
6.342183828353882,1777374395105873727,20064,192
6.442784547805786,1777374395205482404,19968,192
6.544831275939941,1777374395305417791,19968,192
6.642421245574951,1777374395407571304,20064,192
6.742066860198975,1777374395506409248,19968,192
6.842082738876343,1777374395605467858,19968,192
6.942230463027954,1777374395705635179,20064,192
7.042133092880249,1777374395805546047,20064,192
7.143934488296509,1777374395906189175,19104,192
7.243070840835571,1777374396001617923,20832,192
7.342519760131836,1777374396105833126,19968,192
7.442413806915283,1777374396206576654,19968,192
7.542503595352173,1777374396305646585,20064,192
7.642629861831665,1777374396405808358,19968,192
7.7450032234191895,1777374396505685319,19968,192
7.847858428955078,1777374396606312047,19392,192
7.942765712738037,1777374396706105338,20640,192
8.04286813735962,1777374396805796906,20064,192
8.142863750457764,1777374396905921197,19968,192
8.242398262023926,1777374397005924336,19968,192
8.342303037643433,1777374397105978264,19968,192
8.444506883621216,1777374397205841742,19584,192
8.542594909667969,1777374397303772452,20448,192
8.642980337142944,1777374397406180411,19968,192
8.742581129074097,1777374397505964027,20064,192
8.842677593231201,1777374397606024965,19968,192
8.942623376846313,1777374397706126010,19968,192
9.042644500732422,1777374397805993968,20064,192
9.148425817489624,1777374397906167384,19968,192
9.242538690567017,1777374398006236324,19968,192
9.342703819274902,1777374398106040420,20064,192
9.442790269851685,1777374398206220135,19968,192
9.547333002090454,1777374398306105853,19968,192
9.641899347305298,1777374398409748818,19968,192
9.742656946182251,1777374398505978243,20064,192
9.84278130531311,1777374398606203250,19968,192
9.942969560623169,1777374398706258517,20064,192
10.042293310165405,1777374398806352129,19872,192
10.142743110656738,1777374398905286780,20064,192
10.242791175842285,1777374399006253583,19968,192
10.347971439361572,1777374399106648583,19968,192
10.44302749633789,1777374399206542747,20064,192
10.54290509223938,1777374399306390563,19968,192
10.649835348129272,1777374399406325730,19968,192
10.741976976394653,1777374399508944387,19968,192
10.842041015625,1777374399606132079,20064,192
10.942096710205078,1777374399706315408,19968,192
11.042957067489624,1777374399806683905,20064,192
11.142066478729248,1777374399906482236,19968,192
11.242192506790161,1777374400006415162,19968,192
11.341866493225098,1777374400106577139,19968,192
11.445819616317749,1777374400206328448,19680,192
11.543511629104614,1777374400304530807,20352,192
11.645880222320557,1777374400406399376,19680,192
11.7420175075531,1777374400504672377,20256,192
11.84214448928833,1777374400605339671,19968,192
11.941790342330933,1777374400705234730,19968,192
12.041919231414795,1777374400805221141,20064,192
12.141791343688965,1777374400905986700,19968,192
12.241823673248291,1777374401005467698,19968,192
12.34201455116272,1777374401105265132,19968,192
12.444725275039673,1777374401205216271,19488,192
12.542421340942383,1777374401302858036,20448,192
12.646764278411865,1777374401405153628,20064,192
12.741992712020874,1777374401507223913,19968,192
12.841858386993408,1777374401605213738,20064,192
12.94208812713623,1777374401705637704,19968,192
13.044885158538818,1777374401805394519,19968,192
13.142036437988281,1777374401905142020,19968,192
13.24196982383728,1777374402005251885,19968,192
13.342108726501465,1777374402105196688,20064,192
13.44311809539795,1777374402205386259,19968,192
13.548515796661377,1777374402305275688,19968,192
13.642379522323608,1777374402405816454,20064,192
13.741910934448242,1777374402505401291,19872,192
13.841895580291748,1777374402605170912,20064,192
13.942159652709961,1777374402705242693,19968,192
14.045095205307007,1777374402805272958,20064,192
14.141726732254028,1777374402909950966,19968,192
14.241962432861328,1777374403005273151,19968,192
14.342053651809692,1777374403105320449,19968,192
14.441958665847778,1777374403205265928,20064,192
14.541966438293457,1777374403305342834,19968,192
14.642112731933594,1777374403405878515,19968,192
14.742058992385864,1777374403505391178,20064,192
14.842056512832642,1777374403605787431,19968,192
14.942173957824707,1777374403705490607,19968,192
15.041884899139404,1777374403805376551,20064,192
15.142237663269043,1777374403905388480,19968,192
15.245662212371826,1777374404005513364,19968,192
15.342348098754883,1777374404105510704,20064,192
15.44229793548584,1777374404205546581,19968,192
15.542453050613403,1777374404305555379,19968,192
15.642199754714966,1777374404405943700,20064,192
15.742213010787964,1777374404505677963,19968,192
15.842105627059937,1777374404605622104,19968,192
15.942874670028687,1777374404705581706,19968,192
16.042303562164307,1777374404805578949,20064,192
16.142194747924805,1777374404905640273,19968,192
16.24228835105896,1777374405005611875,20064,192
16.342807054519653,1777374405105752332,19968,192
16.442437171936035,1777374405205950723,19968,192
16.546781539916992,1777374405305791102,20064,192
16.642403602600098,1777374405405786849,19968,192
16.74320340156555,1777374405505985816,19968,192
16.842699766159058,1777374405605787849,19968,192
16.942651987075806,1777374405706418192,20064,192
17.042991161346436,1777374405805935927,19968,192
17.142670154571533,1777374405905905363,20064,192
17.24253535270691,1777374406005946528,19968,192
17.342726945877075,1777374406107013154,19968,192
17.453157663345337,1777374406205952028,19968,192
17.542702436447144,1777374406305947657,20064,192
17.642669916152954,1777374406406105920,19968,192
17.743346691131592,1777374406505977708,20064,192
17.84281826019287,1777374406606129793,19968,192
17.94341015815735,1777374406706081699,19968,192
18.046483993530273,1777374406806073902,19968,192
18.142719268798828,1777374406906050326,20064,192
18.2419273853302,1777374407006138648,19872,192
18.349077463150024,1777374407105989067,19584,192
18.441900491714478,1777374407203958615,20448,192
18.54356813430786,1777374407306071891,20064,192
18.64189624786377,1777374407406276641,19968,192
18.741891622543335,1777374407506144440,19968,192
18.841785430908203,1777374407606157844,19968,192
18.942904472351074,1777374407706039087,20064,192
19.04187297821045,1777374407806296010,19968,192
19.142996311187744,1777374407906193609,20064,192
19.242926836013794,1777374408006400021,19968,192
19.342010498046875,1777374408106342637,19968,192
19.44208073616028,1777374408206262687,19968,192
19.54334306716919,1777374408305483452,20064,192
19.64191246032715,1777374408406430454,19968,192
19.741905450820923,1777374408508831624,19968,192
19.84221863746643,1777374408606321319,20064,192
19.942429542541504,1777374408706446541,19968,192
20.04169535636902,1777374408806395847,19872,192
20.141895055770874,1777374408905297010,20064,192
20.24228572845459,1777374409006351047,20064,192
20.342180728912354,1777374409106604254,19968,192
20.44218349456787,1777374409206451083,19968,192
20.541732788085938,1777374409305660693,19968,192
20.64180064201355,1777374409405447731,19968,192
20.745580673217773,1777374409505257719,19968,192
20.842057704925537,1777374409605263853,20064,192
20.941986799240112,1777374409705454388,19968,192
21.042624473571777,1777374409805297600,20064,192
21.141737699508667,1777374409905736870,19872,192
21.24258017539978,1777374410005153125,20064,192
21.341810703277588,1777374410105568885,19968,192
21.442323923110962,1777374410205332606,20064,192
21.54219675064087,1777374410305841382,19872,192
21.6419038772583,1777374410405958441,20064,192
21.74205183982849,1777374410505360565,20064,192
21.84186363220215,1777374410605844086,19872,192
21.94170117378235,1777374410705200470,19968,192
22.042067050933838,1777374410805217856,20064,192
22.141867876052856,1777374410905357833,19968,192
22.242494106292725,1777374411005891927,19968,192
22.341869831085205,1777374411105296438,19968,192
22.44172430038452,1777374411205167627,19968,192
22.541866302490234,1777374411305178853,20064,192
22.64176344871521,1777374411405370125,19968,192
22.746803760528564,1777374411505171025,19968,192
22.8418447971344,1777374411608393763,19968,192
22.94192624092102,1777374411705246290,20064,192
23.041897535324097,1777374411805358182,20064,192
23.141939401626587,1777374411905408522,19872,192
23.243821144104004,1777374412005217456,19680,192
23.3422954082489,1777374412103631684,20352,192
23.44231414794922,1777374412205401780,19968,192
23.542586088180542,1777374412305318664,20064,192
23.641923904418945,1777374412405512580,19968,192
23.742239952087402,1777374412505317628,20064,192
23.847524166107178,1777374412605540000,19968,192
23.942256212234497,1777374412705574963,19968,192
24.041945219039917,1777374412805530641,19968,192
24.142905712127686,1777374412905316037,20064,192
24.242267370224,1777374413005624990,19968,192
24.342089414596558,1777374413105549673,19968,192
24.44221544265747,1777374413205552777,20064,192
24.55101704597473,1777374413305687850,19968,192
24.6427800655365,1777374413407918051,20064,192
24.74242663383484,1777374413506533504,19968,192
24.84221315383911,1777374413605998486,19968,192
24.942480087280273,1777374413705661406,20064,192
25.04205083847046,1777374413805798368,19776,192
25.142692804336548,1777374413905200006,20160,192
25.242712020874023,1777374414005810208,19968,192
25.342907190322876,1777374414105712476,20064,192
25.442245483398438,1777374414205898624,19968,192
25.542316198349,1777374414305734635,19968,192
25.642784118652344,1777374414405787949,20064,192
25.74234652519226,1777374414505904768,19968,192
25.84343934059143,1777374414605856136,19968,192
25.942513704299927,1777374414705898055,20064,192
26.041927099227905,1777374414805957131,19776,192
26.142682790756226,1777374414905372490,20160,192
26.243025541305542,1777374415006040137,19968,192
26.34251642227173,1777374415106027602,19968,192
26.442543506622314,1777374415205967631,19968,192
26.542582750320435,1777374415305959673,20064,192
26.642720699310303,1777374415406028918,20064,192
26.7428936958313,1777374415506190699,19968,192
26.842689752578735,1777374415606185046,19872,192
26.942859649658203,1777374415706072037,20064,192
27.04213237762451,1777374415806167369,19584,192
27.142894744873047,1777374415905345731,20256,192
27.24307918548584,1777374416006261528,19872,192
27.343005657196045,1777374416106171110,19968,192
27.44388198852539,1777374416206202706,19776,192
27.54277777671814,1777374416305482303,20064,192
27.64331579208374,1777374416406219103,19872,192
27.74301767349243,1777374416505095014,20064,192
27.84165930747986,1777374416606220648,19968,192
27.942094326019287,1777374416706266969,19968,192
28.04228711128235,1777374416806272543,19680,192
28.14470648765564,1777374416905419370,20160,192
28.242260694503784,1777374417006264933,19968,192
28.341835975646973,1777374417106876159,20064,192
28.44170832633972,1777374417206373757,19968,192
28.542739629745483,1777374417306256862,19968,192
28.642576694488525,1777374417410828101,19680,192
