t,connected,armed,guided,manual_input,mode,system_status
110.33210682868958,True,False,False,True,STABILIZED,3
111.33548927307129,True,False,False,True,STABILIZED,3
112.33150434494019,True,False,False,True,STABILIZED,3
113.32992887496948,True,False,False,True,STABILIZED,3
114.33351159095764,True,False,False,True,STABILIZED,3
115.32853317260742,True,False,False,True,STABILIZED,3
116.32810282707214,True,False,False,True,STABILIZED,3
117.32733106613159,True,False,False,True,STABILIZED,3
118.32818078994751,True,False,False,True,STABILIZED,3
119.32529354095459,True,False,False,True,STABILIZED,3
120.32541990280151,True,False,False,True,STABILIZED,3
121.32586717605591,True,False,False,True,STABILIZED,3
122.32607793807983,True,False,False,True,STABILIZED,3
123.32459354400635,True,False,False,True,STABILIZED,3
124.3220887184143,True,False,False,True,STABILIZED,3
125.32247114181519,True,False,False,True,STABILIZED,3
126.32218098640442,True,False,False,True,STABILIZED,3
127.32045340538025,True,False,False,True,STABILIZED,3
128.32162880897522,True,False,False,True,STABILIZED,3
129.31941270828247,True,False,False,True,STABILIZED,3
130.32177925109863,True,False,False,True,STABILIZED,3
131.32067441940308,True,False,False,True,STABILIZED,3
132.31989240646362,True,False,False,True,STABILIZED,3
133.31735563278198,True,False,False,True,STABILIZED,3
134.31809258460999,True,False,False,True,STABILIZED,3
135.31836795806885,True,False,False,True,STABILIZED,3
136.3163149356842,True,False,False,True,STABILIZED,3
137.3176245689392,True,False,False,True,STABILIZED,3
138.3173975944519,True,False,False,True,STABILIZED,3
139.31707739830017,True,False,False,True,STABILIZED,3
140.31434154510498,True,False,False,True,STABILIZED,3
141.3154742717743,True,False,False,True,STABILIZED,3
142.31353640556335,True,False,False,True,STABILIZED,3
143.31394243240356,True,False,False,True,STABILIZED,3
144.31361317634583,True,False,False,True,STABILIZED,3
145.31446146965027,True,False,False,True,STABILIZED,3
146.31151866912842,True,False,False,True,STABILIZED,3
147.31319427490234,True,False,False,True,STABILIZED,3
148.31274604797363,True,False,False,True,STABILIZED,3
149.31092286109924,True,False,False,True,STABILIZED,3
