t,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,rssi
0.05849194526672363,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.15722227096557617,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.256458044052124,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.3557617664337158,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.46404099464416504,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.5566496849060059,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.6565043926239014,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.7563812732696533,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.8573448657989502,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
0.9604082107543945,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.0565803050994873,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.1574444770812988,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.2573645114898682,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.3556830883026123,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.4575443267822266,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.5568623542785645,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.658031702041626,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.7578258514404297,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.8570241928100586,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
1.9566762447357178,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.0564610958099365,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.1599788665771484,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.2583134174346924,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.3566701412200928,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.455841064453125,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.558002233505249,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.6570727825164795,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.756455898284912,1514,1514,1045,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.8577423095703125,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
2.9569385051727295,1514,1514,1046,1514,1024,1024,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
