t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.08193206787109375,-0.005607204248929199,-0.02313987503812288,-0.025427158913479634,-0.0015652222265636127,0.0006370463372743685,-0.0011779658750615072,0.9999978783216206,0.0,0.0,0.0,0.0,0.0,0.0
0.1701209545135498,-0.011667731228867263,-0.01473539153589479,-0.027051542145242094,-0.0004932744057607336,0.0007565209735582614,-0.0008104343894528896,0.9999992637759676,0.0,0.0,0.0,0.0,0.0,0.0
0.28798389434814453,-0.004780378303232298,-0.010304578212527291,-0.02134848359150456,-0.0003980147815850738,5.796197849487415e-05,-0.0013998299692277222,0.9999989393497875,0.0,0.0,0.0,0.0,0.0,0.0
0.3739786148071289,-0.004068583623074005,-0.010680146446753372,-0.023860172654849306,-0.0012526754135925675,-7.005917999063466e-05,-0.0006456759004639226,0.9999990044988298,0.0,0.0,0.0,0.0,0.0,0.0
0.4756662845611572,-0.005549168778301573,-0.014895036258609847,-0.022393152261974168,0.0004948310689026151,-0.0008360965756364282,-0.0012673202313187434,0.9999987249912672,0.0,0.0,0.0,0.0,0.0,0.0
0.5833830833435059,-0.009242474951137164,-0.015566372386439058,-0.022187295241677788,2.7431538483936256e-05,0.0006727022155891476,-0.0004817520482834644,0.9999996573170428,0.0,0.0,0.0,0.0,0.0,0.0
0.684319019317627,-0.007889631022982048,-0.01593816759813253,-0.019721988207019862,0.0004338730827954501,-0.0002623463496087835,-0.0008182215477953683,0.999999536720912,0.0,0.0,0.0,0.0,0.0,0.0
0.7781009674072266,-0.007025641214328717,-0.018418937189787047,-0.02298358991853966,0.0002870684435712189,-0.0003873956600537725,-0.00040390420203402424,0.9999998021888336,0.0,0.0,0.0,0.0,0.0,0.0
0.8711488246917725,-0.013648150653744355,-0.016146791241264447,-0.021720617174864454,0.00016219885210279678,0.0012218404663506329,-0.0007587999255056152,0.999998952509491,0.0,0.0,0.0,0.0,0.0,0.0
0.9790470600128174,-0.012240312984729187,-0.010171820578323219,-0.02237725301269329,-0.0004817726880641737,0.00040037010248457697,-0.0008797348511530575,0.9999994168325542,0.0,0.0,0.0,0.0,0.0,0.0
1.0802099704742432,-0.01003600897082827,-0.013370153713922577,-0.02064584951613875,7.263400933177823e-05,0.00045922298232148003,-0.0012458876902177892,0.9999991158008167,0.0,0.0,0.0,0.0,0.0,0.0
1.1726746559143066,-0.00827917754083266,-0.01495219196632038,-0.019906278547902365,0.0006017200641410789,0.0004410159830944534,-0.001131247968073471,0.9999990818575288,0.0,0.0,0.0,0.0,0.0,0.0
1.2740390300750732,-0.011986207433717599,-0.012179281249469182,-0.022925081858337488,-3.846885565256309e-05,3.399851425599303e-05,-0.0007804308003877609,0.9999996941459597,0.0,0.0,0.0,0.0,0.0,0.0
1.3709068298339844,-0.00943514538228629,-0.011967480107245694,-0.01991258117090481,0.0006215790925382414,0.0006130260118369952,-0.0018461130799601328,0.999997914850344,0.0,0.0,0.0,0.0,0.0,0.0
1.4813246726989746,-0.005071223748146044,-0.01849556222548796,-0.020208040295224623,0.0001685236899624567,0.00021508327082973402,-0.0008401325790113332,0.9999996097580246,0.0,0.0,0.0,0.0,0.0,0.0
1.5735971927642822,-0.008405645747014337,-0.019401772347521835,-0.019063900679748856,0.000441961137523288,0.000461760172192998,-0.0011332341694198647,0.999999153613748,0.0,0.0,0.0,0.0,0.0,0.0
