t,path_len,last_x,last_y,last_z
0.8721599578857422,1,-0.013648150653744355,-0.016146791241264447,-0.021720617174864454
1.8779175281524658,2,-0.01025788011356054,-0.017008180376734353,-0.018862645279882868
2.884073495864868,3,-0.003647204538507629,-0.023504574889962302,-0.019116748383256027
3.8826496601104736,4,-0.007841862577702455,-0.022533129555924816,-0.016114623032159686
4.873755931854248,5,-0.009120457886295669,-0.022210551036439503,-0.01686729976577675
5.876160144805908,6,-0.010588659918808073,-0.02173094851294641,-0.019177622757162713
6.872288227081299,7,-0.017241029511381723,-0.02091537459609475,-0.016933365156038622
7.881964206695557,8,-0.010200044623877082,-0.017773378968755423,-0.01126898282535932
8.873743772506714,9,-0.012991452228839325,-0.016190321352339235,-0.013112194131641684
9.871587038040161,10,-0.016868163324568104,-0.00915159828189813,-0.013900246422638353
10.88574504852295,11,-0.02061743354874047,-0.019294943663803712,-0.01746859697785473
11.876864194869995,12,-0.012508660929037973,-0.022419943951520898,-0.01667633103679254
12.874485731124878,13,-0.019757152263624834,-0.02019163589007466,-0.017228309056745363
13.872508525848389,14,-0.01764647383836272,-0.015445510971670844,-0.016132087795839647
14.875969648361206,15,-0.009539578218633781,-0.018912831882100994,-0.015769953860753506
15.878653526306152,16,-0.018392485881824547,-0.020852475815391402,-0.014600263947582053
16.878833293914795,17,-0.023916456746490497,-0.011043578341521471,-0.013217177660591882
17.87618613243103,18,-0.043378410922484956,-0.07514894335524372,0.03301725147918507
18.8804292678833,19,-0.035225097295682316,-0.17403723629060644,0.18848055544258632
19.879127264022827,20,0.01131781858796147,-0.1647945357963086,0.419861110465744
20.879633903503418,21,0.026379721634367807,-0.39011862135428016,0.6290796903663521
21.889949798583984,22,0.07486585258731743,-1.1715552466366728,0.8502077695115458
22.86285424232483,23,-0.07023671429826397,-2.3158761133962336,0.8146469909908334
23.883238077163696,24,-0.04332128131225392,-3.371664097927987,0.7014778188074229
24.88598322868347,25,0.014027476884117773,-3.966577027976562,0.044871341670823996
25.878488540649414,26,0.04194075139426247,-4.026104074878283,0.006353268672049567
26.86958336830139,27,0.0459842806807387,-4.027663853560966,0.007486785599640147
27.86728262901306,28,0.043284470270827054,-4.031206774055412,0.008060552353219405
28.86972999572754,29,0.04530397019964966,-4.030144884314855,0.013773276655841884
