t,vtol_state,landed_state
0.4612407684326172,0,1
0.960254430770874,0,1
1.4552626609802246,0,1
1.9565160274505615,0,1
2.4558279514312744,0,1
2.956752300262451,0,1
3.4567058086395264,0,1
3.9558122158050537,0,1
4.455525159835815,0,1
4.9582905769348145,0,1
5.457627773284912,0,1
5.955446243286133,0,1
6.457427024841309,0,1
6.958008766174316,0,1
7.457605361938477,0,1
7.956777334213257,0,1
8.457950115203857,0,1
8.960361242294312,0,1
9.458501815795898,0,1
9.956204414367676,0,1
10.458813190460205,0,1
10.95762324333191,0,1
11.458769798278809,0,1
11.959216356277466,0,1
12.458962440490723,0,1
12.958513021469116,0,1
13.459517002105713,0,1
13.959613561630249,0,1
14.458908319473267,0,1
14.960269927978516,0,1
15.461376190185547,0,1
15.958776712417603,0,1
16.4605131149292,0,1
16.958890199661255,0,1
17.460635662078857,0,1
17.960322618484497,0,1
18.459373235702515,0,1
18.963433504104614,0,1
19.460833072662354,0,1
19.95971655845642,0,1
20.46171259880066,0,1
20.960121154785156,0,1
21.460471868515015,0,1
21.961485862731934,0,1
22.460554122924805,0,1
22.961539030075073,0,1
23.46282148361206,0,1
23.962106704711914,0,1
24.462229251861572,0,1
24.96118402481079,0,1
25.46029281616211,0,1
25.962510108947754,0,1
26.46155571937561,0,1
26.96730089187622,0,1
27.46325182914734,0,1
27.962968587875366,0,1
28.463593244552612,0,1
28.963078260421753,0,1
29.46373152732849,0,1
29.96321415901184,0,1
30.463737964630127,0,1
30.964035272598267,0,1
31.463024616241455,0,1
31.962988138198853,0,1
32.46448278427124,0,1
32.96331834793091,0,1
33.465028524398804,0,1
33.96467185020447,0,1
34.463709354400635,0,1
34.965213775634766,0,1
35.46503019332886,0,1
35.9649600982666,0,1
36.46503472328186,0,1
36.96560025215149,0,1
37.465895891189575,0,1
37.96453142166138,0,1
38.4658317565918,0,1
38.965468406677246,0,1
39.46565508842468,0,1
39.964882373809814,0,1
40.46764063835144,0,1
40.972689628601074,0,1
41.46346974372864,0,1
41.96209764480591,0,1
42.45918917655945,0,1
42.958373069763184,0,1
43.456392765045166,0,1
43.95409846305847,0,1
44.452619791030884,0,1
44.95005774497986,0,1
45.44852566719055,0,1
45.9442982673645,0,1
46.44493508338928,0,1
46.94216585159302,0,1
47.44123077392578,0,1
47.93932390213013,0,1
48.43808937072754,0,1
48.935696601867676,0,1
49.43293476104736,0,1
49.93154740333557,0,1
50.43039345741272,0,1
50.92761850357056,0,1
51.42764377593994,0,1
51.92478632926941,0,1
52.42315220832825,0,1
52.92380475997925,0,1
53.42017483711243,0,1
53.919923067092896,0,1
54.41753792762756,0,1
54.916584491729736,0,1
55.4140989780426,0,1
55.91274929046631,0,1
56.41356134414673,0,1
56.91152572631836,0,1
57.40881562232971,0,1
57.90951347351074,0,1
58.40759205818176,0,1
58.9060263633728,0,1
59.40443181991577,0,1
59.90234112739563,0,1
60.40236711502075,0,1
60.899903535842896,0,1
61.39789962768555,0,1
61.905603885650635,0,1
62.398555278778076,0,1
62.89429688453674,0,1
63.39493227005005,0,1
63.8941125869751,0,1
64.39157891273499,0,1
64.89142656326294,0,1
65.39063906669617,0,1
65.8899998664856,0,1
66.38908290863037,0,1
66.88714504241943,0,1
67.38555479049683,0,1
67.88643646240234,0,1
68.38355731964111,0,1
68.88386988639832,0,1
69.38480281829834,0,1
69.88173460960388,0,1
70.38020062446594,0,1
70.88007187843323,0,1
71.3784990310669,0,1
71.87796068191528,0,1
72.3773181438446,0,1
72.8754334449768,0,1
73.37505626678467,0,1
73.87309384346008,0,1
74.37332534790039,0,1
74.87163829803467,0,1
75.37247276306152,0,1
75.8728096485138,0,1
76.36974811553955,0,1
76.87039351463318,0,1
77.36805725097656,0,1
77.86663603782654,0,1
78.3678228855133,0,1
78.86659860610962,0,1
79.36460137367249,0,1
79.86419248580933,0,1
80.36398839950562,0,1
80.86767959594727,0,1
81.36307525634766,0,1
81.86191439628601,0,1
82.36084532737732,0,1
82.85874629020691,0,1
83.35958218574524,0,1
83.8590841293335,0,1
84.35884690284729,0,1
84.85849189758301,0,1
85.35756325721741,0,1
85.85700511932373,0,1
86.35605072975159,0,1
86.85513234138489,0,1
87.35566997528076,0,1
87.85376763343811,0,1
88.35293960571289,0,1
88.85452318191528,0,1
89.35310339927673,0,1
89.85272336006165,0,1
90.35124707221985,0,1
90.8497724533081,0,1
91.35072588920593,0,1
91.84942698478699,0,1
92.34980893135071,0,1
92.84750294685364,0,1
93.34910011291504,0,1
93.84705877304077,0,1
94.34636449813843,0,1
94.84587335586548,0,1
95.34577512741089,0,1
95.84477758407593,0,1
96.3455719947815,0,1
96.84376502037048,0,1
97.34348917007446,0,1
97.8433792591095,0,1
98.34482312202454,0,1
98.84223651885986,0,1
