t,x,y,z,qx,qy,qz,qw
0.33768796920776367,-0.007205246482044458,-0.02084808610379696,-0.026298632845282555,-0.021844387579298387,-0.00324438273884957,0.001161061382778172,-0.9997554468706688
0.3708839416503906,-0.007338979747146368,-0.020193330943584442,-0.02625253237783909,-0.021845177832707965,-0.003248726498424224,0.0011554979987747674,-0.9997554468706688
0.40709352493286133,-0.007412168197333813,-0.019554628059267998,-0.026196356862783432,-0.021834487021165375,-0.0032424347641949575,0.0011474479507091538,-0.9997557418986083
0.44217777252197266,-0.0074135735630989075,-0.0187113918364048,-0.026098081842064857,-0.021835486033183985,-0.0032474416780891493,0.0011267959949388452,-0.9997557418986084
0.4729740619659424,-0.007367091253399849,-0.018103118985891342,-0.026020478457212448,-0.021829412935731367,-0.003245369897067036,0.0011175236882664118,-0.9997558261923053
0.5053811073303223,-0.00728954840451479,-0.017535196617245674,-0.02591586485505104,-0.021838303286589134,-0.0032546316670273045,0.0010993583965582562,-0.9997556997517598
0.5395283699035645,-0.007161715067923069,-0.01686215028166771,-0.025752896443009377,-0.021829015833393053,-0.003258632324913299,0.001088484509642402,-0.9997558683391539
0.5753870010375977,-0.007048307918012142,-0.016414718702435493,-0.02560770884156227,-0.02183073463455889,-0.003268540785580408,0.001081445985941111,-0.9997557418986083
0.605126142501831,-0.006928163580596447,-0.016012277454137802,-0.025461094453930855,-0.021797860092720393,-0.0032618209974209513,0.0010744496090883272,-0.9997565848355785
0.6393311023712158,-0.0068225678987801075,-0.015654178336262703,-0.025302398949861526,-0.02182434872846498,-0.0032720369983732884,0.0010743653153912523,-0.9997559104860023
0.671795129776001,-0.006719421595335007,-0.015241214074194431,-0.025081316009163857,-0.0218173879130156,-0.0032812368651498063,0.0010767676857563822,-0.9997560369265479
0.7052450180053711,-0.006674956995993853,-0.014979311265051365,-0.024905571714043617,-0.02180858185585486,-0.0032690616942862225,0.0010714571828440431,-0.999756289807639
0.7379741668701172,-0.0066392021253705025,-0.01475254725664854,-0.024712517857551575,-0.021807591404914853,-0.00325899123167015,0.0010594874778669572,-0.999756374101336
0.7716526985168457,-0.006617662031203508,-0.01456436887383461,-0.024491747841238976,-0.021833968088093084,-0.00326287598572274,0.0010545562965911654,-0.9997558261923054
0.8083739280700684,-0.006612333469092846,-0.014364061877131462,-0.024173589423298836,-0.021838796536425613,-0.003259699167016231,0.0010472227449502415,-0.9997556576049113
0.8398690223693848,-0.006614066194742918,-0.01426774263381958,-0.023944754153490067,-0.02183969215695647,-0.0032492546511196257,0.001038371906762974,-0.9997557418986083
0.8734176158905029,-0.00661932909861207,-0.014228690415620804,-0.02372726984322071,-0.02182696775997323,-0.0032383978863610233,0.001031712704698281,-0.9997559947796993
0.9055876731872559,-0.006713652051985264,-0.014228055253624916,-0.023445159196853638,-0.021820687221000595,-0.003226913528686312,0.001017256335659042,-0.999756205513942
0.9389102458953857,-0.006867518648505211,-0.014254300855100155,-0.023234548047184944,-0.0218369144162218,-0.0032148615056457205,0.001004570134257214,-0.9997559104860023
0.9755086898803711,-0.0071060978807508945,-0.01430236455053091,-0.023027805611491203,-0.021843067197559882,-0.003212415012798565,0.0009992174844963655,-0.9997557840454568
1.0044963359832764,-0.0073998295702040195,-0.014355180785059929,-0.022825630381703377,-0.021836149187503522,-0.003170492727964893,0.0009759524241183143,-0.9997561212202449
1.0373854637145996,-0.007858349941670895,-0.01436538714915514,-0.022576531395316124,-0.021855046122160087,-0.0031570827861488408,0.0009678180823557368,-0.9997557418986083
1.0707550048828125,-0.008259297348558903,-0.0142942164093256,-0.022400526329874992,-0.02187654430762318,-0.0031501463368462583,0.0009612010271395021,-0.9997552782832747
1.107529640197754,-0.008841972798109055,-0.014138787053525448,-0.022186066955327988,-0.021853725740421583,-0.003120871399288395,0.0009532352727709648,-0.9997559104860023
1.1404080390930176,-0.0092887282371521,-0.013996560126543045,-0.02202358841896057,-0.02183292561213695,-0.003088461131328026,0.0009460281616756268,-0.999756458395033
1.174269676208496,-0.00973417330533266,-0.013840947300195694,-0.021859323605895042,-0.021812480439342117,-0.003069686027405438,0.0009447216093717821,-0.9997569220103667
1.2116978168487549,-0.010134045965969563,-0.0137040289118886,-0.021698251366615295,-0.021797225255814696,-0.003058699529378763,0.000947250420282444,-0.9997573434788517
1.2397689819335938,-0.010605105198919773,-0.013545292429625988,-0.021473107859492302,-0.021787288477733747,-0.0030410670001775257,0.0009467868049488213,-0.9997576385067913
1.2728991508483887,-0.010930610820651054,-0.013434448279440403,-0.02130252867937088,-0.021795084327619244,-0.003040623141179144,0.0009459017211300897,-0.9997574277725487
1.306323766708374,-0.011265309527516365,-0.013295314274728298,-0.021148955449461937,-0.021788068194431198,-0.0030370999280614364,0.0009455645463420007,-0.9997575963599428
1.340728998184204,-0.011720633134245872,-0.013084649108350277,-0.020978791639208794,-0.021754797208798894,-0.0030300337454907825,0.0009489362942228824,-0.999758355003216
1.371272087097168,-0.012073148973286152,-0.012896439991891384,-0.020875461399555206,-0.021757702707168113,-0.0030428016064115507,0.0009489362942228831,-0.9997581864158219
1.4067587852478027,-0.01236634235829115,-0.012702146545052528,-0.02077425643801689,-0.021739295729625487,-0.0030406145801005406,0.000951844426770089,-0.9997586500311556
1.439769983291626,-0.012622958980500698,-0.012503150850534439,-0.020667536184191704,-0.02171737080732122,-0.003041044609664254,0.000960020915381233,-0.9997590714996407
