t,width,height,point_step,row_step,is_dense,data_len
11.877424240112305,3313,1,48,159024,True,159024
11.973066329956055,3331,1,48,159888,True,159888
12.075194597244263,3355,1,48,161040,True,161040
12.18732237815857,3424,1,48,164352,True,164352
12.272595405578613,3368,1,48,161664,True,161664
12.375531435012817,3400,1,48,163200,True,163200
12.46062684059143,3343,1,48,160464,True,160464
12.574491739273071,3509,1,48,168432,True,168432
12.678289651870728,3350,1,48,160800,True,160800
12.775132179260254,3371,1,48,161808,True,161808
12.874826669692993,3427,1,48,164496,True,164496
12.976163387298584,3386,1,48,162528,True,162528
13.076494932174683,3389,1,48,162672,True,162672
13.173832893371582,3414,1,48,163872,True,163872
13.278265714645386,3382,1,48,162336,True,162336
13.376929998397827,3383,1,48,162384,True,162384
13.472858428955078,3413,1,48,163824,True,163824
13.582475185394287,3372,1,48,161856,True,161856
13.673801183700562,3369,1,48,161712,True,161712
13.78788709640503,3312,1,48,158976,True,158976
13.872877836227417,3422,1,48,164256,True,164256
13.974543571472168,3351,1,48,160848,True,160848
14.073378801345825,3347,1,48,160656,True,160656
14.172582387924194,3368,1,48,161664,True,161664
14.277765274047852,3387,1,48,162576,True,162576
14.379910707473755,3398,1,48,163104,True,163104
14.47405219078064,3447,1,48,165456,True,165456
14.573074102401733,3420,1,48,164160,True,164160
14.683159589767456,3418,1,48,164064,True,164064
14.774662733078003,3417,1,48,164016,True,164016
14.87678050994873,3428,1,48,164544,True,164544
14.984511852264404,3427,1,48,164496,True,164496
15.076967477798462,3414,1,48,163872,True,163872
15.183382749557495,3432,1,48,164736,True,164736
15.274282455444336,3422,1,48,164256,True,164256
15.378393173217773,3456,1,48,165888,True,165888
15.482578992843628,3395,1,48,162960,True,162960
15.574049949645996,3442,1,48,165216,True,165216
15.686678171157837,3436,1,48,164928,True,164928
15.774991035461426,3406,1,48,163488,True,163488
15.87920355796814,3411,1,48,163728,True,163728
15.989624500274658,3383,1,48,162384,True,162384
16.074586629867554,3385,1,48,162480,True,162480
16.17708921432495,3420,1,48,164160,True,164160
16.272972345352173,3456,1,48,165888,True,165888
16.380711793899536,3440,1,48,165120,True,165120
16.476356267929077,3384,1,48,162432,True,162432
16.583089113235474,3355,1,48,161040,True,161040
16.67368245124817,3477,1,48,166896,True,166896
16.77577304840088,3501,1,48,168048,True,168048
16.879289865493774,3508,1,48,168384,True,168384
16.976312398910522,3623,1,48,173904,True,173904
17.082844495773315,3648,1,48,175104,True,175104
17.178636074066162,3637,1,48,174576,True,174576
17.27556848526001,3618,1,48,173664,True,173664
17.37571954727173,3563,1,48,171024,True,171024
17.481709718704224,3463,1,48,166224,True,166224
17.574546575546265,3471,1,48,166608,True,166608
17.6797456741333,3451,1,48,165648,True,165648
17.778711795806885,3525,1,48,169200,True,169200
17.87686514854431,3535,1,48,169680,True,169680
17.98541283607483,3569,1,48,171312,True,171312
18.067262649536133,3682,1,48,176736,True,176736
18.174519538879395,3701,1,48,177648,True,177648
18.28430199623108,3666,1,48,175968,True,175968
18.366438388824463,3617,1,48,173616,True,173616
18.477158784866333,3858,1,48,185184,True,185184
18.576664447784424,3767,1,48,180816,True,180816
18.676459312438965,3801,1,48,182448,True,182448
18.777241468429565,3821,1,48,183408,True,183408
18.8808696269989,3832,1,48,183936,True,183936
18.982433795928955,3979,1,48,190992,True,190992
19.07748818397522,3994,1,48,191712,True,191712
19.177645206451416,3965,1,48,190320,True,190320
19.277174949645996,3968,1,48,190464,True,190464
19.378182649612427,4010,1,48,192480,True,192480
19.481622219085693,3966,1,48,190368,True,190368
19.590039253234863,4035,1,48,193680,True,193680
19.662017583847046,4038,1,48,193824,True,193824
19.781245470046997,4102,1,48,196896,True,196896
19.879573822021484,4245,1,48,203760,True,203760
19.979207515716553,4286,1,48,205728,True,205728
20.078609228134155,4354,1,48,208992,True,208992
20.18201780319214,4479,1,48,214992,True,214992
20.280511379241943,4463,1,48,214224,True,214224
20.38493013381958,4429,1,48,212592,True,212592
20.4887797832489,4436,1,48,212928,True,212928
20.581225633621216,4436,1,48,212928,True,212928
20.661783695220947,4481,1,48,215088,True,215088
20.76717185974121,4457,1,48,213936,True,213936
20.880240440368652,4535,1,48,217680,True,217680
20.96274185180664,4621,1,48,221808,True,221808
21.08112144470215,4660,1,48,223680,True,223680
21.18777084350586,4564,1,48,219072,True,219072
21.285619974136353,4663,1,48,223824,True,223824
21.380170106887817,4676,1,48,224448,True,224448
21.488855838775635,4858,1,48,233184,True,233184
21.582475900650024,4936,1,48,236928,True,236928
21.681817293167114,4941,1,48,237168,True,237168
21.77777647972107,5006,1,48,240288,True,240288
21.890519380569458,5058,1,48,242784,True,242784
21.982272386550903,5000,1,48,240000,True,240000
22.06462049484253,5036,1,48,241728,True,241728
22.181803464889526,5057,1,48,242736,True,242736
22.291337490081787,5043,1,48,242064,True,242064
22.388182163238525,5040,1,48,241920,True,241920
22.463492393493652,5056,1,48,242688,True,242688
22.582574605941772,5159,1,48,247632,True,247632
22.687437772750854,5089,1,48,244272,True,244272
22.792285442352295,5106,1,48,245088,True,245088
22.863418579101562,5096,1,48,244608,True,244608
22.98222780227661,5154,1,48,247392,True,247392
23.06311345100403,5193,1,48,249264,True,249264
23.162790536880493,5099,1,48,244752,True,244752
23.26984715461731,5031,1,48,241488,True,241488
23.387640237808228,5254,1,48,252192,True,252192
23.4858500957489,5103,1,48,244944,True,244944
23.56474733352661,5136,1,48,246528,True,246528
23.663724184036255,5101,1,48,244848,True,244848
